UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24
10169,10377538,ont-gamified,Resistance,Apprentice,Social Achiever,7,4,5,7,5,2,5,2,7,6,1,7,5,7,4,7,2,6,4,2,7,7,7,7
10170,10260351,w/o-gamified,Grupo11,Apprentice,NA,3,2,4,6,4,1,3,3,4,5,1,4,3,1,3,1,2,1,2,2,6,4,3,4
10171,698531,ont-gamified,Mafia,Master,Social Achiever,5,2,7,7,6,2,1,1,7,6,6,5,1,2,2,2,2,1,1,2,6,6,2,6
10172,10273971,w/o-gamified,Grupo5,Apprentice,NA,4,5,4,6,5,5,5,5,5,5,5,5,5,4,5,6,6,5,5,5,7,5,4,5
10174,10276852,w/o-gamified,Grupo7,Master,NA,3,4,4,4,5,3,2,4,4,4,5,6,5,4,4,5,4,6,6,5,6,4,4,4
10175,10310700,ont-gamified,Warriors,Master,Social Achiever,4,1,4,5,7,1,1,1,4,4,7,4,1,1,3,1,1,1,1,1,4,4,4,4
10176,10276949,ont-gamified,Outlaws,Master,Social Achiever,3,6,4,4,5,5,5,4,4,4,4,4,4,4,4,6,4,6,5,5,4,4,4,4
10179,10310759,w/o-gamified,Grupo10,Master,NA,6,5,6,6,2,5,1,4,4,5,7,4,2,1,7,1,6,2,4,4,3,3,2,2
10181,10276866,w/o-gamified,Grupo2,Apprentice,NA,2,5,1,2,3,5,4,3,3,5,4,2,7,4,5,1,1,5,5,4,2,3,4,1
10183,10352030,w/o-gamified,Grupo3,Apprentice,NA,3,2,2,2,2,3,3,5,3,4,2,2,4,4,4,4,4,5,4,4,3,3,4,3
10184,10276675,w/o-gamified,Grupo10,Apprentice,NA,4,3,3,5,3,4,4,4,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4
10185,10276960,w/o-gamified,Grupo9,Apprentice,NA,5,5,4,5,4,6,3,3,3,5,4,6,4,4,3,4,6,5,3,6,6,4,3,5
10186,10310551,ont-gamified,Slayers,Apprentice,Social Achiever,1,4,7,7,5,4,1,1,3,7,1,3,1,5,4,4,4,4,3,3,6,4,2,6
